Target	POS	Context	Overlap	Sent1	Sent2	Sent3
volume	same|same|same	diff|diff|diff	false|false|false	Nel periodo Natalizio il <b>volume</b> delle commesse aumenta.	La <b>mole</b> di lavoro aumenta sotto Natale.	L'antologia dello scrittore è raccolta in questo <b>libro</b>.
volume	same|same|same	diff|diff|diff	false|false|false	Il <b>volume</b> della produzione ha superato le aspettative.	La <b>mole</b> di lavoro aumenta sotto Natale.	L'antologia dello scrittore è raccolta in questo <b>libro</b>.
sale	same|same|same	diff|diff|diff	false|false|false	Immobile centrale con ampie <b>sale</b> e giardino.	Le <b>stanze</b> della casa sono spaziose e pulite.	Il sale è un <b>minerale</b> costituito da cloruro di sodio.
sale	same|same|same	diff|diff|diff	false|false|false	Terminate la ricetta con <b>sale</b> e pepe quanto basta.	Il sale è un <b>minerale</b> costituito da cloruro di sodio.	Immobile centrale con ampie <b>stanze</b> e giardino.
sale	same|same|same	diff|diff|diff	false|false|false	Immobile centrale con ampie <b>sale</b> e giardino.	La casa aveva molte <b>camere</b> ed un terrazzo.	Il sale è un <b>minerale</b> costituito da cloruro di sodio.
campione	same|same|same	diff|diff|diff	false|false|false	Preleva un <b>campione</b> di sangue con una siringa.	Il laboratorio analizza l'<b>esemplare</b>.	Il <b>vincitore</b> saluta i tifosi.
campione	same|same|same	diff|diff|diff	false|false|false	Il <b>campione</b> saluta i tifosi.	I tifosi chiedono un autografo al <b>vincitore</b>.	Il laboratorio analizza l'<b>esemplare</b>.
campione	same|same|same	diff|diff|diff	false|false|false	I tifosi chiedono un autografo al <b>campione</b>.	L'<b>atleta</b> saluta i tifosi.	Il laboratorio analizza l'<b>esemplare</b>.
facoltà	same|same|same	diff|diff|diff	false|false|false	Il sospettato si è avvalso della <b>facoltà</b> di non rispondere.	I magneti hanno la <b>capacità</b> di attrarre il ferro.	Il corso di laurea è organizzato dal <b>dipartimento</b> di lettere.
facoltà	same|same|same	diff|diff|diff	false|false|false	La <b>facoltà</b> di fisica ha pubblicato gli esiti dell'esame.	Il corso di laurea è organizzato dal <b>dipartimento</b> di lettere.	I magneti hanno la <b>capacità</b> di attrarre il ferro.
rombo	same|same|same	diff|diff|diff	false|false|false	Prima del temporale si udì un <b>rombo</b> in lontananza.	Il lampo è seguito da un <b>fragore</b> sordo.	La <b>losanga</b> è un poligono di quattro lati.
rombo	same|same|same	diff|diff|diff	false|false|false	L'area del <b>rombo</b> è la metà dell'area del rettangolo.	Ogni <b>losanga</b> è un parallelogramma.	Prima del temporale si udì un <b>tuono</b> in lontananza.
rigore	same|same|same	diff|diff|diff	false|false|false	L'arbitro fischia il tiro di <b>rigore</b>.	Alla squadra è concesso un <b>tiro di punizione</b>.	Ogni giorno va in palestra e si allena con <b>disciplina</b>.
rigore	same|same|same	diff|diff|diff	false|false|false	Descrisse l'esperimento con <b>rigore</b> scientifico.	Ogni giorno va in palestra e si allena con <b>disciplina</b>.	Alla squadra è concesso un <b>tiro di punizione</b>.
polo	same|same|same	diff|diff|diff	false|false|false	Arrivò indossando una <b>polo</b> a maniche lunghe.	Indossava una <b>maglietta</b> e un paio di jeans.	Fu il primo a raggiungere l'<b>antartide</b> in solitaria.
polo	same|same|same	diff|diff|diff	false|false|false	Impiegò anni per raggiungere il <b>polo</b> in slitta.	Fu il primo a raggiungere l'<b>antartide</b> in solitaria.	Indossava una <b>maglietta</b> e un paio di jeans.
venti	same|same|same	diff|diff|diff	false|false|false	Ci sono <b>venti</b> che portano umidità e afa.	Sono previste forti <b>raffiche</b> di vento.	Videro un gruppo di <b>due decine</b> di persone.
venti	same|same|same	diff|diff|diff	false|false|false	Sono previste temperature oltre i <b>venti</b> gradi.	Videro un gruppo di <b>due decine</b> di persone.	Sono previste forti <b>raffiche</b> di vento.
venti	same|same|same	diff|diff|diff	false|false|false	Oggi la temperatura ha superato i <b>venti</b> gradi.	Il gruppo contava <b>due decine</b> di individui.	Sono previste forti <b>folate</b> di vento.
botte	same|same|same	diff|diff|diff	false|false|false	Era stanca di fare a <b>botte</b> con la vita.	Fu arrestato per <b>percosse</b> e minacce.	Il prezzo di un <b>barile</b> ha raggiunto i 100 dollari.
botte	same|same|same	diff|diff|diff	false|false|false	Nella <b>botte</b> piccola c'è il vino buono.	Il prezzo di un <b>barile</b> ha raggiunto i 100 dollari.	Fu arrestato per <b>percosse</b> e minacce.
credenza	same|same|same	diff|diff|diff	false|false|false	È una <b>credenza</b> popolare molto diffusa.	È una <b>leggenda</b> appartenente al folclore locale.	Teneva il pane nella <b>dispensa</b> in cucina.
credenza	same|same|same	diff|diff|diff	false|false|false	La <b>credenza</b> conteneva piatti e posate.	Teneva il pane nella <b>dispensa</b> in cucina.	È una <b>leggenda</b> appartenente al folclore locale.
credenza	same|same|same	diff|diff|diff	false|false|false	Piatti e posate erano nella <b>credenza</b>.	Teneva stoviglie e generi di prima necessità nella <b>dispensa</b>.	È una <b>superstizione</b> appartenente al folclore locale.
pesca	same|same|same	diff|diff|diff	false|false|false	I marinai andarono a <b>pesca</b> e non presero niente.	Il <b>pescato</b> venne venduto al mercato ittico.	Aggiunse un <b>frutto</b> maturo alla macedonia.
pesca	same|same|same	diff|diff|diff	false|false|false	La <b>pesca</b> è un frutto molto delicato.	Aggiunse un <b>frutto</b> maturo alla macedonia.	Il <b>pescato</b> venne venduto al mercato ittico.
borsa	same|same|same	diff|diff|diff	false|false|false	Tirò fuori un libro dalla <b>borsa</b>.	Posò la <b>sacca</b> sul tavolo.	Il <b>mercato azionario</b> registra forti perdite.
borsa	same|same|same	diff|diff|diff	false|false|false	La <b>borsa</b> di Milano registra forti perdite.	Il <b>mercato azionario</b> ha riportato rendimenti negativi.	Posò la <b>sacca</b> sul tavolo.
foro	same|same|same	diff|diff|diff	false|false|false	La maglia aveva un grosso <b>foro</b> sul gomito.	Il maglione ha un <b>buco</b> sulla manica.	Ha vinto la causa presso il <b>tribunale</b> di Milano.
foro	same|same|same	diff|diff|diff	false|false|false	Ha vinto la causa presso il <b>foro</b> di Milano.	È avvocato presso il <b>tribunale</b> di Torino.	Il maglione ha un <b>buco</b> sulla manica.
indice	same|same|same	diff|diff|diff	false|false|false	Il Dow Jones è l'<b>indice</b> che ha perso più punti.	Il <b>paniere dei titoli</b> ha registrato forti perdite.	Si è tagliato un <b>dito</b> mentre cucinava.
indice	same|same|same	diff|diff|diff	false|false|false	Mise l'anello all'<b>indice</b> della mano destra.	Si è tagliato un <b>dito</b> mentre cucinava.	Il <b>paniere dei titoli</b> ha registrato forti perdite.
quota	same|same|same	diff|diff|diff	false|false|false	Vogliono acquistare la sua <b>quota</b> della società.	La sua <b>parte</b> della società fu ereditata dai figli.	L'aereo raggiunse l'<b>altitudine</b> di crociera.
quota	same|same|same	diff|diff|diff	false|false|false	L'aereo scese di <b>quota</b> per l'atterraggio.	L'aereo raggiunse l'<b>altitudine</b> di crociera.	La sua <b>parte</b> della società fu ereditata dai figli.
pianta	same|same|same	diff|diff|diff	false|false|false	L'Agave è una <b>pianta</b> grassa.	L'<b>albero</b> in giardino ha molti frutti.	La <b>planimetria</b> è il disegno tecnico di un edificio.
pianta	same|same|same	diff|diff|diff	false|false|false	La <b>pianta</b> dell'edificio è caratterizzata da ampi saloni.	La <b>planimetria</b> è il disegno tecnico di un edificio.	L'<b>albero</b> in giardino ha molti frutti.
cappa	same|same|same	diff|diff|diff	false|false|false	La <b>cappa</b> è un elettrodomestico che elimina i fumi.	Il <b>sistema di aspirazione</b> convoglia i fumi all'esterno.	Una <b>nuvola</b> di smog e polveri sottili avvolge la città.
cappa	same|same|same	diff|diff|diff	false|false|false	Una <b>cappa</b> di smog soffocava la città.	Una <b>nuvola</b> di smog e polveri sottili avvolge la città.	Il <b>sistema di aspirazione</b> convoglia i fumi all'esterno.
boa	same|same|same	diff|diff|diff	false|false|false	In mare c'era una <b>boa</b> segnaletica rossa.	Un'onda allontanò la barca dal <b>galleggiante</b>.	Il <b>serpente</b> si nutre di uccelli e mammiferi.
boa	same|same|same	diff|diff|diff	false|false|false	Il <b>boa</b> è un serpente non velenoso.	Il <b>serpente</b> si nutre di uccelli e mammiferi.	Un'onda allontanò la barca dal <b>galleggiante</b>.
zecca	same|same|same	diff|diff|diff	false|false|false	La <b>zecca</b> è un insetto endemico.	Il morso di questo <b>insetto</b> è pericoloso.	L'<b>Istituto Poligrafico dello Stato</b> conia monete e banconote.
zecca	same|same|same	diff|diff|diff	false|false|false	La <b>zecca</b> ha emesso una moneta commemorativa.	L'<b>Istituto Poligrafico dello Stato</b> conia monete e banconote.	Il morso di questo <b>insetto</b> è pericoloso.
sirena	same|same|same	diff|diff|diff	false|false|false	La <b>sirena</b> è una creatura mitologica.	Nella mitologia questa <b>creatura</b> incantava i marinai.	L'incendio fece scattare un <b>segnale acustico</b> di allarme.
sirena	same|same|same	diff|diff|diff	false|false|false	La <b>sirena</b> dell'ambulanza era rumorosa.	L'incendio fece scattare un <b>segnale acustico</b> di allarme.	Nella mitologia questa <b>creatura</b> incantava i marinai.
lira	same|same|same	diff|diff|diff	false|false|false	La <b>lira</b> era la moneta italiana in uso prima dell'Euro.	Questa era la <b>valuta</b> italiana in uso prima dell'Euro.	Suonava uno <b>strumento</b> musicale a corde.
viola	same|same|same	diff|diff|diff	false|false|false	Suonava la <b>viola</b> in un quintetto d'archi.	Suonava uno <b>strumento</b> musicale a corde.	I fiori di questa piccola <b>pianta</b> sono molto delicati.
viola	same|same|same	diff|diff|diff	false|false|false	I fiori della <b>viola</b> sono commestibili.	I fiori di questa piccola <b>pianta</b> sono molto delicati.	Suonava uno <b>strumento</b> musicale a corde.
calcoli	same|same|same	diff|diff|diff	false|false|false	Fece una serie di <b>calcoli</b> per arrivare al risultato.	Dopo una serie di <b>conti</b> arrivò al risultato.	I calcoli sono piccoli <b>sassi</b> che si formano nei reni.
calcoli	same|same|same	diff|diff|diff	false|false|false	Fu ricoverato in ospedale per dei <b>calcoli</b> renali.	I calcoli sono piccoli <b>sassi</b> che si formano nei reni.	Dopo una serie di <b>conti</b> arrivò al risultato.
capo	same|same|same	diff|diff|diff	false|false|false	Parlò al suo <b>capo</b> per avere un aumento.	Chiese al suo <b>responsabile</b> di avere un aumento.	Prese un <b>vestito</b> dal guardaroba e se lo provò.
capo	same|same|same	diff|diff|diff	false|false|false	Prese un <b>capo</b> dal guardaroba e se lo provò.	Si provò uno dei <b>vestiti</b> che aveva nel guardaroba.	Chiese al suo <b>responsabile</b> di avere un aumento.
capo	same|same|same	diff|diff|diff	false|false|false	Prese la corona e se la pose in <b>capo</b>.	Gli posero la corona in <b>testa</b> e lo dichiararono re.	Chiese al suo <b>responsabile</b> di avere un aumento.
calcio	same|same|same	diff|diff|diff	false|false|false	Il latte è una fonte di <b>calcio</b>.	Il calcio è un <b>minerale</b> fondamentale per la salute del corpo.	Il <b>pallone</b> è lo sport più seguito dagli italiani.
calcio	same|same|same	diff|diff|diff	false|false|false	L'arbitro fischia la fine della partita di <b>calcio</b>.	Il <b>pallone</b> è lo sport più seguito dagli italiani.	Il calcio è un <b>minerale</b> fondamentale per la salute del corpo.
calcio	same|same|same	diff|diff|diff	false|false|false	Dette un <b>calcio</b> al pallone segnando goal.	Diede una <b>pedata</b> alla palla.	Il calcio è un <b>minerale</b> fondamentale per la salute del corpo.
re	same|same|same	diff|diff|diff	false|false|false	Il <b>re</b> viveva nel suo castello.	Il <b>monarca</b> regnava con potere assoluto.	Il re è la seconda <b>nota musicale</b> nella scala di do.
re	same|same|same	diff|diff|diff	false|false|false	Il <b>re</b> è la seconda nota musicale nella scala di do.	La seconda <b>nota musicale</b> è il re.	Il <b>monarca</b> regnava con potere assoluto.
prodotto	same|same|same	diff|diff|diff	false|false|false	Il <b>prodotto</b> è il risultato della moltiplicazione.	Il <b>risultato</b> della moltiplicazione è il prodotto.	Ha restituito l'<b>articolo</b> dopo averlo acquistato.
prodotto	same|same|same	diff|diff|diff	false|false|false	Ha restituito il <b>prodotto</b> dopo averlo acquistato.	Ha comprato l'<b>articolo</b> su Amazon.	Il <b>risultato</b> della moltiplicazione è il prodotto.
salsa	same|same|same	diff|diff|diff	false|false|false	La <b>salsa</b> è un ballo caraibico.	Il <b>ballo</b> caraibico più famoso è la Salsa.	Ha preparato della pasta con un <b>sugo</b> al pomodoro.
salsa	same|same|same	diff|diff|diff	false|false|false	Ha preparato la <b>salsa</b> al pomodoro per condire la pasta.	Ha preparato della pasta con un <b>sugo</b> al pomodoro.	Il <b>ballo</b> caraibico più famoso è la Salsa.
lettera	same|same|same	diff|diff|diff	false|false|false	Scrisse una <b>lettera</b> al suo amico di penna.	Ricevette una <b>missiva</b> tramite posta raccomandata.	La A è il primo <b>segno dell'alfabeto</b>.
lettera	same|same|same	diff|diff|diff	false|false|false	La A è la prima <b>lettera</b> dell'alfabeto.	L'ultimo <b>segno dell'alfabeto</b> è la Z.	Ricevette una <b>missiva</b> tramite posta raccomandata.
blocco	same|same|same	diff|diff|diff	false|false|false	I manifestanti sfondano il <b>blocco</b> della Polizia.	Il fuggitivo viene fermato ad un <b>posto di controllo</b> della polizia.	La statua fu ricavata da un grosso <b>pezzo</b> di marmo.
blocco	same|same|same	diff|diff|diff	false|false|false	La statua fu ricavata da un grosso <b>blocco</b> di marmo.	Scolpì l'opera da un <b>pezzo</b> di marmo.	Il fuggitivo viene fermato ad un <b>posto di controllo</b> della polizia.
batteria	same|same|same	diff|diff|diff	false|false|false	Suona la <b>batteria</b> in una band.	La batteria è uno <b>strumento a percussione</b>.	La <b>pila</b> della torcia è scarica.
batteria	same|same|same	diff|diff|diff	false|false|false	La <b>batteria</b> del telefono è scarica.	Mi serve una nuova <b>pila</b> per la torcia.	La batteria è uno <b>strumento a percussione</b>.
batteria	same|same|same	diff|diff|diff	false|false|false	Ogni <b>batteria</b> dell'esercito aveva in dotazione 50 moschetti.	Ogni <b>unità di tiro</b> si compone di venti di soldati.	Mi serve una nuova <b>pila</b> per la torcia.
vettore	same|same|same	diff|diff|diff	false|false|false	Secondo il ministero della Difesa, il <b>vettore</b> è caduto in pieno oceano.	Il <b>missile</b> ha affondato la nave nemica.	In Algebra Lineare un <b>vettore</b> è un elemento di uno spazio vettoriale.
piano	same|same|same	diff|diff|diff	false|false|false	Abitava fuori città al <b>piano terra</b> di una villetta.	Vivevano al <b>pianterreno</b> di un palazzo.	Lasciò il libro sul <b>ripiano</b> del mobile.
piano	same|same|same	diff|diff|diff	false|false|false	Suona il <b>piano</b> a coda in un'orchestra.	Ha studiato <b>pianoforte</b> al conservatorio e si è laureato in musica.	Lasciò il libro sul <b>ripiano</b> del mobile.
piano	same|same|same	diff|diff|diff	false|false|false	Lasciò il libro sul <b>ripiano</b> del mobile.	C'era un vaso sulla <b>mensola</b> in soggiorno.	Suona il <b>pianoforte</b> in un'orchestra.
tempo	same|same|same	diff|diff|diff	false|false|false	In autunno il <b>tempo</b> è freddo e piovoso.	Il <b>clima</b> autunnale è freddo e piovoso.	Il Medioevo è un <b>periodo storico</b> che durò mille anni.
tempo	same|same|same	diff|diff|diff	false|false|false	Questa tradizione risale al <b>tempo</b> degli antichi romani.	Il Medioevo è un <b>periodo storico</b> che durò mille anni.	Il <b>clima</b> autunnale è freddo e piovoso.
secondo	same|same|same	diff|diff|diff	false|false|false	Il menu prevede un <b>secondo</b> a base di pesce.	A pranzo c'era sempre una <b>seconda portata</b>.	Il <b>secondo classificato</b> salutò i tifosi.
secondo	same|same|same	diff|diff|diff	false|false|false	Il <b>secondo classificato</b> salutò i tifosi.	Il <b>perdente</b> lasciò lo stadio.	A pranzo c'era sempre una <b>seconda portata</b>.
